               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12235,            0.046938,            0.044506,           0.0032187,             0.34353,           0.0047836,          0.00093061,             0.11012,            0.025102,            0.036149,              0.0838,              0.0018,              0.0018
                   1,             0.10366,            0.047631,            0.034942,             0.36761,              0.1732,            0.098684,             0.03429,            0.099547,            0.022643,            0.026025,            0.066676,           0.0036756,           0.0036756
                   2,            0.091333,            0.048755,            0.022582,              0.5637,             0.47118,             0.36079,             0.11419,            0.093414,            0.020214,             0.01347,            0.049526,           0.0055261,           0.0055261
                   3,            0.089489,             0.04271,            0.015318,             0.55857,              0.4743,             0.30876,            0.095482,            0.098303,             0.02075,           0.0089322,            0.032352,           0.0073515,           0.0073515
                   4,            0.088116,            0.035901,            0.010713,             0.49407,             0.47211,              0.2683,            0.090529,            0.091845,            0.016715,           0.0068659,            0.015152,           0.0091518,           0.0091518
                   5,            0.086633,            0.045204,           0.0098968,             0.37405,             0.57861,             0.40601,             0.20429,            0.079962,            0.015875,           0.0067808,             0.00967,             0.00967,             0.00967
                   6,            0.079443,             0.03861,            0.008526,             0.42037,             0.45865,             0.37995,             0.14572,            0.079096,            0.015221,           0.0067876,             0.00967,             0.00967,             0.00967
                   7,            0.074991,            0.038366,             0.00852,             0.30757,             0.64099,              0.3542,              0.1942,            0.077901,            0.016158,           0.0060294,            0.009604,            0.009604,            0.009604
                   8,            0.068396,            0.036479,           0.0067218,              0.2565,             0.63331,             0.34668,             0.16938,            0.078425,            0.015462,           0.0052942,            0.009538,            0.009538,            0.009538
                   9,            0.069286,            0.034965,           0.0072902,             0.47398,             0.69078,             0.56261,             0.25429,            0.069876,            0.015718,           0.0051943,            0.009472,            0.009472,            0.009472
                  10,            0.063438,            0.038752,           0.0068045,             0.59607,             0.74932,             0.64943,             0.29721,            0.059385,            0.015963,           0.0055794,            0.009406,            0.009406,            0.009406
                  11,             0.06152,            0.038804,           0.0067378,             0.52017,              0.7341,             0.63638,             0.30783,            0.060576,            0.015149,           0.0052074,             0.00934,             0.00934,             0.00934
                  12,             0.06086,            0.040268,           0.0060578,             0.61206,             0.76635,             0.67461,             0.37383,             0.05563,            0.015303,           0.0051847,            0.009274,            0.009274,            0.009274
                  13,            0.059353,            0.037161,           0.0066333,             0.58943,             0.77992,             0.58544,             0.35065,              0.0581,            0.015917,           0.0049622,            0.009208,            0.009208,            0.009208
                  14,             0.05861,            0.037321,            0.006425,             0.77969,             0.77792,             0.74488,             0.43062,            0.046598,            0.013585,           0.0052118,            0.009142,            0.009142,            0.009142
                  15,            0.057819,            0.038728,           0.0057562,             0.72288,             0.78026,              0.7265,             0.40079,            0.053644,              0.0142,           0.0052038,            0.009076,            0.009076,            0.009076
                  16,            0.054248,            0.034168,           0.0057269,             0.77488,             0.79981,               0.737,              0.3795,             0.05329,            0.013093,           0.0050505,             0.00901,             0.00901,             0.00901
                  17,            0.055227,            0.036064,           0.0055127,              0.7006,             0.78182,             0.72838,               0.479,            0.047431,            0.013243,           0.0053041,            0.008944,            0.008944,            0.008944
                  18,            0.052204,            0.037726,            0.005869,              0.7041,             0.80091,             0.71371,             0.46588,             0.04794,            0.013373,           0.0053734,            0.008878,            0.008878,            0.008878
                  19,             0.05193,            0.033492,           0.0052437,             0.77872,             0.80333,             0.76487,             0.51612,            0.043554,            0.012882,           0.0052994,            0.008812,            0.008812,            0.008812
                  20,            0.052455,            0.037701,           0.0057562,             0.77017,             0.77611,             0.74374,             0.49011,            0.045739,            0.013268,           0.0052083,            0.008746,            0.008746,            0.008746
                  21,            0.051652,            0.035651,           0.0062628,             0.84418,             0.80016,              0.7701,             0.49935,             0.04115,            0.012452,           0.0053455,             0.00868,             0.00868,             0.00868
                  22,            0.050848,            0.037885,           0.0053812,             0.80979,             0.78612,             0.77796,             0.54857,            0.043611,            0.013111,           0.0050336,            0.008614,            0.008614,            0.008614
                  23,            0.048177,            0.036341,           0.0053196,             0.81299,             0.78736,             0.77166,             0.50466,            0.043522,            0.013671,           0.0049664,            0.008548,            0.008548,            0.008548
                  24,            0.048336,            0.035386,           0.0059123,             0.86478,             0.79581,             0.78272,             0.45198,            0.044765,            0.013517,            0.005153,            0.008482,            0.008482,            0.008482
                  25,            0.048529,            0.043023,           0.0055345,             0.78929,             0.79905,             0.77274,             0.54337,            0.040087,            0.012738,           0.0051141,            0.008416,            0.008416,            0.008416
                  26,            0.044788,            0.034225,           0.0055867,             0.81559,             0.78647,             0.76558,             0.55353,            0.040995,            0.012648,           0.0050311,             0.00835,             0.00835,             0.00835
                  27,            0.048212,            0.035061,           0.0050359,             0.84072,             0.78201,             0.76712,             0.49779,            0.048332,            0.013113,              0.0051,            0.008284,            0.008284,            0.008284
